"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACX60_RS15950",470.224699934282,-5.70373669550117,0.24888362982188,4.98210289056048e-116,1.71882549724337e-112
"ACX60_RS03085",528.423065781129,4.9753938721075,0.224553517917809,1.34883883888215e-109,2.32674699707171e-106
"ACX60_RS03770",689.996715168735,-2.39910667003492,0.118949237602037,6.5339724057434e-92,7.51406826660491e-89
"ACX60_RS01845",3795.85106648991,2.42195633014703,0.131808407050204,1.22163812656315e-76,1.05366288416072e-73
"ACX60_RS11155",382.750427636526,-2.24700879063874,0.132668479673679,1.18837161658651e-65,8.19976415444689e-63
"ACX60_RS05905",676.604722135418,1.97276810633251,0.125596272396904,7.81138375938343e-57,4.49154566164547e-54
"ACX60_RS17920",655.791009589956,6.67057064354124,0.449471498306739,5.37813051839989e-51,2.65065004121137e-48
"ACX60_RS06785",457.530105897959,4.68424815569729,0.322714332285623,5.64221588768684e-49,2.43320560156495e-46
"ACX60_RS05185",1105.35783775664,1.36242245432226,0.0937926385037892,6.87497972481421e-49,2.63540889451211e-46
"ACX60_RS13305",1428.31614784921,-1.43440353861498,0.102593976399003,1.30937210959395e-45,4.51733377809913e-43
"ACX60_RS07725",15178.8274667447,-1.48056201933,0.109175362042589,4.25909432674618e-43,1.33580685702494e-40
"ACX60_RS03065",456.817848824445,5.08293795788073,0.38761318700044,1.96223235310988e-40,5.64141801519089e-38
"ACX60_RS01825",2098.66968639272,-1.03505748257291,0.0796527065898121,1.22418068872042e-39,3.24878721237342e-37
"ACX60_RS00725",743.813930666995,1.38363555607082,0.109451535617352,1.04251085351374e-37,2.56904460330173e-35
"ACX60_RS17335",28808.9089178164,-1.05188781630139,0.0834218466120136,1.74519271342812e-37,4.01394324088467e-35
"ACX60_RS05300",1165.92795571014,1.64861107845879,0.131475172557425,3.1597231420487e-37,6.81315302504251e-35
"ACX60_RS07985",1220.36164250339,1.52026595121241,0.122314408981839,1.15880800066642e-36,2.35169858958774e-34
"ACX60_RS13745",23873.6855747439,1.03560716068802,0.0842250063186225,1.06230999060908e-35,2.0360941486674e-33
"ACX60_RS01815",29163.6401216726,-0.866645215732223,0.0709061367292591,2.80655740848079e-35,5.09611739960986e-33
"ACX60_RS11360",117.739992259585,3.05196030996463,0.253823213427431,2.39120703425564e-34,4.12483213409097e-32
"ACX60_RS11790",558.492902257208,2.05695149821187,0.172215823681558,4.56203706275079e-34,7.49477517451915e-32
"ACX60_RS17320",21553.3192439956,-1.12263094179793,0.0945710613486504,7.50133539697438e-34,1.17634577816189e-31
"ACX60_RS14060",10509.5671442324,-0.844427690704212,0.0717506354296352,6.69934030343435e-33,1.00490104551515e-30
"ACX60_RS17300",20302.4804042323,-0.937975239466943,0.0805076570350731,2.39675327733182e-32,3.4453328361645e-30
"ACX60_RS04250",1212.363884457,1.08873842069677,0.0939216686488707,4.22751685175225e-32,5.8339732554181e-30
"ACX60_RS13295",421.19221520562,-1.49269554534478,0.130014447639024,9.53563204235249e-32,1.26530502100446e-29
"ACX60_RS04195",1905.56231034835,1.25819361180167,0.111602138757749,1.46023874944386e-30,1.86586062428938e-28
"ACX60_RS17305",66241.756397364,-0.982215800425926,0.0876759409052929,3.69546231609512e-30,4.5533374966172e-28
"ACX60_RS17325",21125.3556280392,-1.01014323847202,0.0905137825380691,6.17986798389679e-30,7.35191191187722e-28
"ACX60_RS07730",4707.34865060334,-1.30618776112686,0.119034542146159,3.13015127961402e-29,3.59967397155613e-27
"ACX60_RS17315",82055.4015194554,-0.927136340674074,0.0847820495741461,6.23552935517072e-29,6.93954073398032e-27
"ACX60_RS11795",410.816666487676,2.0558176734914,0.190633518876175,2.67295494694701e-28,2.88177955217725e-26
"ACX60_RS04875",5646.37621218251,1.0438324634139,0.0981072992232808,1.97945078214519e-27,2.06942581769724e-25
"ACX60_RS03080",5624.56865434632,1.1261847112607,0.106846714209124,5.81244890866703e-27,5.89792609850036e-25
"ACX60_RS07735",1275.59670783773,-0.951426810918419,0.0910946097328981,1.67809238713812e-26,1.65411963875044e-24
"ACX60_RS15425",1336.88222007903,1.48944418884587,0.143249983267523,1.76554870922195e-26,1.69198417967104e-24
"ACX60_RS15310",558.246552364496,1.21197543216829,0.117518272133022,5.03068527920132e-26,4.69077411168772e-24
"ACX60_RS13740",31588.6151994676,0.853223407773557,0.0839496341879166,3.69396616714843e-25,3.35373244122686e-23
"ACX60_RS05775",23512.977821699,-0.893674603494216,0.0892718374576171,1.45253229259204e-24,1.28493241267757e-22
"ACX60_RS15435",1703.65906186793,1.42874523118996,0.143489692057205,1.68416297765237e-24,1.45259056822517e-22
"ACX60_RS05700",603.36432863374,1.35124581475054,0.137000555149567,4.85849892432748e-24,4.08824909486093e-22
"ACX60_RS15440",3067.2092599127,-0.952334704411094,0.096943827445813,9.05212621124133e-24,7.4356751020911e-22
"ACX60_RS01220",2143.49510965896,1.54351232806397,0.158070822753197,1.11215133205124e-23,8.9230746408762e-22
"ACX60_RS14065",1538.67437952518,-1.0813494451577,0.112704788847466,7.38239240086501e-23,5.78846676886006e-21
"ACX60_RS01840",1567.38475224636,-0.82582313013693,0.086039870780094,1.05182019776355e-22,8.06395484952053e-21
"ACX60_RS01565",35893.8021864565,-0.816744159728742,0.0846103343999211,1.21964085775705e-22,9.14730643317787e-21
"ACX60_RS06605",382.298676477237,1.30194241021608,0.13720740272684,1.98545366174705e-22,1.45740747511219e-20
"ACX60_RS03870",1056.59164342342,1.16387487806008,0.123258145406045,3.15920689883829e-22,2.27067995854002e-20
"ACX60_RS15325",1928.18756705228,1.23668520529959,0.13119769857861,3.46389860595087e-22,2.43886738582255e-20
"ACX60_RS07900",3765.55991764671,-0.765141835064831,0.0817740302412983,1.08558612654254e-21,7.49054427314354e-20
"ACX60_RS14265",411.149378225776,1.57037198503166,0.169188344830289,1.23907570648538e-21,8.38198272034229e-20
"ACX60_RS16665",47231.3109399717,-0.720279753437658,0.0771835936845135,1.29177573966895e-21,8.57043519588051e-20
"ACX60_RS11280",146.884848701001,2.01966536145229,0.218269894782754,1.42274018973356e-21,9.26123331052977e-20
"ACX60_RS07965",3401.60024426348,-0.681718612249943,0.0733861399381888,2.57879461962258e-21,1.64756322920332e-19
"ACX60_RS17310",42615.4511873063,-0.766139478961096,0.0826356136477388,2.65564384135184e-21,1.66581295502979e-19
"ACX60_RS06195",129.586433393435,1.83941754289539,0.201327378559391,4.45162526585659e-21,2.74251913700093e-19
"ACX60_RS13325",226.749451769298,-1.37145777626317,0.150655586553804,7.85089976043008e-21,4.75186038131294e-19
"ACX60_RS03165",6111.59959740877,-0.865180505134311,0.0960218647110381,1.79393323913709e-20,1.06708097845224e-18
"ACX60_RS10555",3220.49812172607,-0.771960354230546,0.0853573353427072,2.0768221211991e-20,1.21441293527744e-18
"ACX60_RS13300",374.819257318156,-1.26790928631561,0.141408114522584,2.16981384703122e-20,1.24764296204295e-18
"ACX60_RS14330",733.533464032616,-0.8316983079991,0.0921436470457474,2.23506719057102e-20,1.26409537827378e-18
"ACX60_RS15875",339.394811947797,1.22454118598456,0.136630041539562,2.66324424146934e-20,1.48196655372084e-18
"ACX60_RS05400",509.633370797659,1.1405984799507,0.128224860886657,5.5364910908415e-20,3.03188797831796e-18
"ACX60_RS06790",602.831539381407,2.61239076916887,0.296343431658829,6.15443179510432e-20,3.31762338954842e-18
"ACX60_RS06755",985.028776259415,0.797977057041444,0.0897537778722477,8.18337242730922e-20,4.34348228834105e-18
"ACX60_RS07905",1248.14519744584,-0.836969703823994,0.0945485663119505,1.04414266017802e-19,5.44378572178748e-18
"ACX60_RS01925",736.250423757355,1.0832516476052,0.122807653950516,1.05719896626018e-19,5.44378572178748e-18
"ACX60_RS07265",911.259231803679,0.859233492097804,0.0983248878440177,2.92586076495854e-19,1.48444406457456e-17
"ACX60_RS14335",988.788929627798,-0.79724925820309,0.0915169662153447,3.85520955346592e-19,1.92760477673296e-17
"ACX60_RS07980",6606.25498414163,0.72571674167279,0.0836131877381068,4.50185728274886e-19,2.21877251792622e-17
"ACX60_RS06735",54503.3391397875,-0.721205385443351,0.0826959456660588,5.19042021738672e-19,2.52210559858932e-17
"ACX60_RS10600",290.476946290723,1.40328630526042,0.164129859932136,8.29910188780901e-19,3.97665298790848e-17
"ACX60_RS13285",601.679868935773,-0.90898829469822,0.105795325608791,9.21449325153456e-19,4.35479475586222e-17
"ACX60_RS16555",12332.3712775787,0.855430792339896,0.0995648801613281,9.96035144589933e-19,4.6436773632909e-17
"ACX60_RS01820",5634.15643681469,-0.662257690082438,0.0771904779462512,1.56124001987582e-18,7.18170409142876e-17
"ACX60_RS07960",2596.82209823924,-0.812101810970102,0.0953949689781711,2.13846957933551e-18,9.7075263798783e-17
"ACX60_RS13455",1151.09191120761,-1.01755450455919,0.123173291328677,1.33979438094918e-17,6.00297482373333e-16
"ACX60_RS17805",1328.63596971224,0.837922364349414,0.101148153559938,1.51841007904813e-17,6.71604458040521e-16
"ACX60_RS08200",27287.0436610952,-0.672357471723474,0.0807965512720945,1.70092519420632e-17,7.42809103798961e-16
"ACX60_RS14275",7583.97663075939,-0.632892393930705,0.0772222525600223,4.0224412005672e-17,1.73467776774461e-15
"ACX60_RS03160",8712.99700083181,-0.802068338281305,0.0979088790980149,4.68225357233269e-17,1.99429318821578e-15
"ACX60_RS01590",244.070749226053,1.08040222328089,0.135854719464292,1.75942569352769e-16,7.4024617593543e-15
"ACX60_RS09555",511.607738405813,0.860173060819166,0.108126914372203,1.88898372542414e-16,7.8517998225461e-15
"ACX60_RS03980",5998.46196206077,-0.796875656872841,0.100760300819696,3.2902772808357e-16,1.35136388320038e-14
"ACX60_RS11920",1743.07864998392,0.939455662251571,0.119206072396466,3.8991669025392e-16,1.58260303691297e-14
"ACX60_RS01890",204.313519535597,-1.17857683530377,0.151927190666931,7.25922814355115e-16,2.91213222037808e-14
"ACX60_RS14555",18738.151142569,-0.670176903874032,0.086182579039904,1.03542901529101e-15,4.10601161236089e-14
