"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"sRNA90",49.9000808739903,1.71418335079851,0.292496623742688,2.91682959805845e-10,3.09183937394195e-08
"sRNA18",119.287650679971,1.27273937005799,0.257262265161999,5.36523868348288e-08,2.84357650224593e-06
"sRNA15",136.683274660153,-0.786052751662556,0.221990966063252,4.18624455424907e-05,0.00147913974250134
"sRNA70",32.1110719894036,0.946390066940178,0.35500416942825,0.000559893428394047,0.0148371758524423
"sRNA13",182.202892200196,0.541480896232039,0.210464295019786,0.00173965274968585,0.0333028732296343
"sRNA28",46.9875172717557,-0.750486719624988,0.324183355077121,0.00188506829601703,0.0333028732296343
"sRNA47",98.417643954483,-0.584443870688127,0.265328255655095,0.00373838138832976,0.0566097753089935
"sRNA27",35.0186435101177,0.640302545858601,0.328211409453403,0.00551369581944887,0.0730564696076975
"sRNA43",89.1775661810038,-0.4599763158265,0.222519447723427,0.00833804282738033,0.0982036155224795
"sRNA63",11.3385934277545,0.482304695185787,0.57183874682642,0.0296369791538066,0.31415197903035
"sRNA25",48.5481205554829,0.378002045854087,0.274650245923565,0.0413589318346416,0.398549706770183
"sRNA10",2.0903570738938,-0.133826782762681,0.322271239508865,0.0748379735830243,0.573345623524514
"sRNA68",2.53401865765421,-0.15382675149737,0.331676728178717,0.0848521685220206,0.573345623524514
"sRNA20",39.2402757855773,0.297970240078704,0.267066317852367,0.0876292855701139,0.573345623524514
"sRNA59",27.9208111863874,0.291464687388959,0.318639193924798,0.0981874552751685,0.573345623524514
"sRNA94",33.7970432591753,-0.290215298725301,0.289829029106493,0.0985077196837448,0.573345623524514
"sRNA65",3.50019941489818,-0.150516002887581,0.328059065184622,0.0993110506571969,0.573345623524514
"sRNA92",42.063183557524,-0.282709324005818,0.265580385816047,0.100853633846641,0.573345623524514
"sRNA58",52.0837922834471,0.279968671313877,0.264270209416485,0.102769498556281,0.573345623524514
"sRNA9",24.1122562145479,-0.273514781862262,0.30579540140245,0.111759453610933,0.587188966376111
"sRNA102",22.8590838400085,0.259491653989028,0.301365918435803,0.125393685144801,0.587188966376111
"sRNA16",7.44885929463634,-0.196632164167034,0.33764921950126,0.128952517933171,0.587188966376111
"sRNA42",90.2907772541232,0.233032872888953,0.202159456929913,0.129057853767626,0.587188966376111
"sRNA79",8.11675797945669,0.17125889487735,0.325696972000354,0.144825576169367,0.587188966376111
"sRNA37",648.822924028173,-0.224407124120293,0.211267036882046,0.14721806566725,0.587188966376111
"sRNA96",240.264288228559,-0.207996655769717,0.181360547146184,0.149245380886441,0.587188966376111
"sRNA14",22.1775927769782,-0.238261401574552,0.286207313864238,0.149567000869387,0.587188966376111
"sRNA89",231193.48276843,-0.214937120061494,0.212208538526755,0.164794368586767,0.609693212902351
"sRNA3",3012.88693399473,-0.165815146297909,0.13907457679991,0.166802860133662,0.609693212902351
"sRNA17",149.267354289238,0.196960241395455,0.192538215594968,0.184304474573378,0.651209143492601
"sRNA38",5.07048266282527,-0.130700489008626,0.306145479102731,0.1997963921332,0.680079763703432
"sRNA50",53.0784398499791,0.195302621509939,0.215651181733373,0.207888554257965,0.680079763703432
"sRNA45",9.85386758982347,0.166681882779063,0.301284511950545,0.214327980978189,0.680079763703432
"sRNA77",18.07628722021,-0.184724280772891,0.286986792593969,0.21813879213129,0.680079763703432
"sRNA86",27.8671630076966,0.188277980931283,0.2615159854297,0.229516312261092,0.695106545705021
"sRNA8",25.9475472056825,-0.182136143959214,0.25939905294514,0.241904516979825,0.712274411107262
"sRNA88",26.0338345176231,-0.168942824323568,0.252546582862253,0.271176726571729,0.776270882109812
