"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACX60_RS16895",2911.20849913169,-10.0903397669116,0.422914384474195,3.70245315295982e-124,1.17219666822708e-120
"ACX60_RS05905",676.604722135418,2.70727545440504,0.123971690785163,5.76818447856373e-107,9.13103602956638e-104
"ACX60_RS01845",3795.85106648991,2.60361777424984,0.131735251642323,3.38646461765414e-88,3.57384899316434e-85
"ACX60_RS03085",528.423065781129,4.21421702537956,0.225916158709321,1.25104612702714e-78,9.90203009541983e-76
"ACX60_RS01220",2143.49510965896,2.72006985645782,0.156587089361392,7.42081708784792e-69,4.6988613800253e-66
"ACX60_RS18040",390.103660069404,2.83028274938777,0.170287752198182,2.3679160876998e-63,1.24947038894293e-60
"ACX60_RS17920",655.791009589956,6.63420126742223,0.449504958480589,1.80107853995669e-50,8.14602093928984e-48
"ACX60_RS04875",5646.37621218251,1.39215487484038,0.0978796841604854,4.60410116200275e-47,1.82207303486259e-44
"ACX60_RS06785",457.530105897959,4.3995030060354,0.32336122726713,2.0426502275324e-43,7.18558957818619e-41
"ACX60_RS03065",456.817848824445,5.15195777467225,0.387663566993882,1.8691688519934e-41,5.91778858541111e-39
"ACX60_RS13240",6114.38992568893,1.27014016156485,0.0971664611767652,3.6460825746444e-40,1.04940885739311e-37
"ACX60_RS05300",1165.92795571014,1.56998463672597,0.131770798052121,6.18690689222306e-34,1.63231226839819e-31
"ACX60_RS00865",16574.1121465656,1.1064314499406,0.0938904539353005,3.03576252073083e-33,7.39324933894908e-31
"ACX60_RS01890",204.313519535597,-1.88152792536283,0.160974175270392,9.35854826973356e-33,2.11636884442689e-30
"ACX60_RS15310",558.246552364496,1.36056513097508,0.117257098131997,3.01081832873021e-32,6.35483388583989e-30
"ACX60_RS07735",1275.59670783773,-1.05203890793901,0.0915462125244456,1.17689815663576e-31,2.32878722744301e-29
"ACX60_RS01025",480.811178249461,-1.48945238536767,0.131498772361895,6.22176555163308e-31,1.15871233743943e-28
"ACX60_RS03870",1056.59164342342,1.36305849460418,0.122968726279006,9.81387843665475e-30,1.72615217391383e-27
"ACX60_RS14335",988.788929627798,-1.0169182916882,0.0924617494578639,3.20170370572325e-29,5.33504943806305e-27
"ACX60_RS14330",733.533464032616,-1.02012213562634,0.0933371782337717,6.80983823812111e-29,1.07799739309457e-26
"ACX60_RS05400",509.633370797659,1.34982590242673,0.127747206615668,3.00187224811752e-27,4.52567977978099e-25
"ACX60_RS13710",265.186493917693,1.74669426255912,0.179870394794927,1.6176168064387e-23,2.3278976405386e-21
"ACX60_RS11920",1743.07864998392,1.11013900246898,0.118999407661388,7.72684194257731e-22,1.06361659087825e-19
"ACX60_RS09555",511.607738405813,1.0076614121206,0.107881780639457,8.57587249487497e-22,1.13130051328226e-19
"ACX60_RS03045",502.241036740588,1.1033070432644,0.119415337122426,1.867864882638e-21,2.36546408737276e-19
"ACX60_RS15425",1336.88222007903,1.32422021440918,0.143771745071392,2.28948590422005e-21,2.78788937413872e-19
"ACX60_RS16900",1409.8927306005,-0.773938345661463,0.0870062588772987,6.27080645748811e-20,7.35310120163236e-18
"ACX60_RS11200",971.994237767095,1.10279922908308,0.125749165533714,1.36328714819521e-19,1.54148825399501e-17
"ACX60_RS06790",602.831539381407,2.57611116517448,0.296711900442489,2.0173830691028e-19,2.20242579199292e-17
"ACX60_RS13960",11573.0033402138,1.10124152912035,0.126345762360306,2.20673179767128e-19,2.32883762380909e-17
"ACX60_RS02355",1525.45288916298,0.92408866894844,0.106651256826084,3.85087005719207e-19,3.93285632292584e-17
"ACX60_RS04250",1212.363884457,0.817104895228007,0.0947723783776041,6.73901836345766e-19,6.66741629334592e-17
"ACX60_RS17880",304.041530652882,-1.12168471323733,0.131058759725475,8.48555708551051e-19,8.14099204022008e-17
"ACX60_RS01860",208.987316276015,1.24282535249239,0.15139184146499,1.57925682621397e-17,1.47056679758631e-15
"ACX60_RS06260",271.556137269133,1.45739255420411,0.178637250148528,2.15277485796438e-17,1.94733862866149e-15
"ACX60_RS01790",256.875018088155,1.17291238759332,0.144064793679296,2.8073399572515e-17,2.46889952907174e-15
"ACX60_RS16905",499.414593657442,-0.945337168292422,0.116565466216737,4.81317500997035e-17,4.11851677880166e-15
"ACX60_RS13125",834.029226196529,0.871184790336741,0.10753342895516,5.07721279706814e-17,4.23011992513624e-15
"ACX60_RS01740",328.398101946636,1.04063943733026,0.12941862771348,7.22785796145527e-17,5.86753802717113e-15
"ACX60_RS17290",459.762245261673,1.00696344735056,0.128056019819246,3.01987545698963e-16,2.39023142420729e-14
"ACX60_RS18100",1807.50661733195,0.751591414249252,0.0957017399738438,4.61467096685547e-16,3.56342641001571e-14
"ACX60_RS07845",1118.85183719437,0.861999718232553,0.110689776712352,6.43915120587529e-16,4.85389350423838e-14
"ACX60_RS15075",514.643724986901,-0.833556643090936,0.107087810826659,6.86963083557694e-16,5.05796540126432e-14
"ACX60_RS07285",1468.28037485477,0.619222420113174,0.0795710856330702,1.03509237949458e-15,7.44796016699966e-14
"ACX60_RS15435",1703.65906186793,1.11005969914097,0.144446756673332,1.13019312890007e-15,7.9515365468836e-14
"ACX60_RS02385",2075.20470265671,0.671438105367468,0.0876868849108039,2.07670606068748e-15,1.42931551916012e-13
"ACX60_RS12970",222.774548132681,-1.12541766588966,0.148280631801115,2.44940656858073e-15,1.64996195662268e-13
"ACX60_RS17295",1068.19839429364,-0.780856897710992,0.103605728701459,3.69585324589519e-15,2.43772320343837e-13
"ACX60_RS17630",124.86579967542,-1.54730956476258,0.208474615153073,7.87271852713011e-15,5.08674017487631e-13
"ACX60_RS14265",411.149378225776,1.25650801096363,0.171171567938372,1.46594342218123e-14,9.28235374925156e-13
"ACX60_RS06580",593.565238549216,0.916083619316386,0.124720858571577,1.81958854693888e-14,1.12957202737421e-12
"ACX60_RS13745",23873.6855747439,0.625069277379639,0.0845165169444755,2.18317456284906e-14,1.32921743576541e-12
"ACX60_RS14170",3605.42538899671,0.530442773345586,0.0714899610796337,2.78246872148982e-14,1.66213131551637e-12
