"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-ACX60_RS15950",474.733423651298,-5.52901676763372,0.237753687991522,2.07444328872035e-119,7.15268045950778e-116
"gene-ACX60_RS03085",533.081405195585,4.99144077560469,0.227343472519531,1.17837487875783e-107,2.03151829097849e-104
"gene-ACX60_RS03770",697.131142888749,-2.41069582794506,0.117874641249419,2.10243387875269e-94,2.41639733797976e-91
"gene-ACX60_RS01845",3825.25583456002,2.41543252097527,0.133534517309059,2.22754497371176e-74,1.92014376733954e-71
"gene-ACX60_RS11155",385.840882878501,-2.25396825021892,0.131989191470202,1.0482012823208e-66,7.22839604288425e-64
"gene-ACX60_RS05905",680.771595121612,1.96438592010147,0.127139936398836,4.5947668763604e-55,2.64045936494844e-52
"gene-ACX60_RS17920",662.866220323193,6.63731167309191,0.446362247068585,3.4841626556327e-51,1.71619897666022e-48
"gene-ACX60_RS05185",1117.84060813154,1.36270715927918,0.0941003613020913,1.31249463698587e-48,5.65685188540911e-46
"gene-ACX60_RS06785",462.71991809445,4.64112768579675,0.324992430154915,1.5951865306121e-47,6.11133684172281e-45
"gene-ACX60_RS13305",1436.9789958558,-1.44012450662445,0.101706438773924,1.04554807743781e-46,3.60504977100557e-44
"gene-ACX60_RS07725",15276.1335833001,-1.4827834623664,0.109199275806706,3.38611072472336e-43,1.06139179807692e-40
"gene-ACX60_RS01825",2119.8001452762,-1.04123464563771,0.0790198872758204,1.25474701694846e-40,3.60530642869857e-38
"gene-ACX60_RS03065",459.031251239313,5.08929316873486,0.388765115701407,2.66606863993014e-40,7.07123436190702e-38
"gene-ACX60_RS17335",28997.338891103,-1.05727687629307,0.0830040944429586,3.37042092662352e-38,8.30086525356992e-36
"gene-ACX60_RS00725",748.598576313776,1.38077991446487,0.110124466447707,3.82693317145801e-37,8.79684371679148e-35
"gene-ACX60_RS05300",1171.70715533011,1.64417806995733,0.13195553910629,8.54125336115152e-37,1.84064009932815e-34
"gene-ACX60_RS01815",29431.8583750818,-0.879299290350664,0.0700947710777825,2.58543258599029e-36,5.24386562146737e-34
"gene-ACX60_RS13745",24058.4035274426,1.03502304543771,0.0835632516304008,6.75450546582193e-36,1.29386304700856e-33
"gene-ACX60_RS07985",1229.33329196185,1.50744249581886,0.124057724332114,4.21639599393391e-35,7.6516491510969e-33
"gene-ACX60_RS11360",119.18392591598,2.99563823988369,0.249533246243718,2.98731688685304e-34,5.15013431293465e-32
"gene-ACX60_RS17320",21701.6898257386,-1.12833302607637,0.0946415473807641,5.96048277113038e-34,9.78654504517026e-32
"gene-ACX60_RS14060",10618.2838004925,-0.847651750497792,0.0711065791838316,1.13442903616821e-33,1.77795968941272e-31
"gene-ACX60_RS17300",20455.2819750917,-0.943436223928988,0.0805029048580494,1.0029744721583e-32,1.49129730972642e-30
"gene-ACX60_RS13295",423.395220892694,-1.49597536644855,0.128201332239889,1.03802596964716e-32,1.49129730972642e-30
"gene-ACX60_RS11790",562.056067893082,2.05482246787547,0.17614808897885,1.23675001918546e-32,1.70572562646059e-30
"gene-ACX60_RS04250",1201.35549009436,1.07707417657029,0.093773480256871,1.45939512907567e-31,1.93538246348189e-29
"gene-ACX60_RS04195",1926.53812819535,1.25559811861083,0.110346729256365,4.42872889491292e-31,5.65565082579991e-29
"gene-ACX60_RS17305",66646.7036017647,-0.986577185935946,0.087563646348424,1.74568335331778e-30,2.14968435794276e-28
"gene-ACX60_RS17325",21338.1572455548,-1.01351137414418,0.0902746316973855,2.89610223650785e-30,3.44336569361347e-28
"gene-ACX60_RS17315",82645.3953615566,-0.928791759639657,0.0847469984128536,2.94717808271327e-29,3.38729000973178e-27
"gene-ACX60_RS07730",4737.2500419732,-1.30671771796695,0.12038672447676,1.38716837504065e-28,1.54288921198069e-26
"gene-ACX60_RS11795",414.296053481177,2.04008620019489,0.191909856825799,1.39452414638928e-27,1.50259976773444e-25
"gene-ACX60_RS04875",5694.77506740993,1.04090513172205,0.0980300850854414,2.49428528653606e-27,2.60615020241707e-25
"gene-ACX60_RS07735",1289.06764845292,-0.953647529080027,0.091235974498305,1.47120347620761e-26,1.49197340763642e-24
"gene-ACX60_RS03080",5659.28862718491,1.12008850210293,0.107575608003917,2.05161812164231e-26,2.02113693812077e-24
"gene-ACX60_RS15425",1348.15952913488,1.47925697386834,0.142562878736047,2.18895555799416e-26,2.09653298998996e-24
"gene-ACX60_RS15310",563.45545557182,1.19525739083874,0.117416097596226,2.00679465415833e-25,1.87011566690214e-23
"gene-ACX60_RS13740",31888.1366705056,0.850192659652242,0.0834557498674859,2.95805024811856e-25,2.68404138302968e-23
"gene-ACX60_RS05775",23751.8288668785,-0.90016491201699,0.0893165306390646,8.31011262445105e-25,7.34699187925826e-23
"gene-ACX60_RS15435",1718.63973749079,1.43157741727576,0.144383713061948,2.56302493734627e-24,2.20932749599249e-22
"gene-ACX60_RS05700",610.662316744565,1.34549749942621,0.136297081656487,4.59142057364321e-24,3.86127271656629e-22
"gene-ACX60_RS15440",3092.30266851036,-0.957257938213439,0.0975302930359847,9.90281959217714e-24,8.12974332233971e-22
