"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-ACX60_RS16895",2939.70605609021,-10.1047794705438,0.422913802314293,1.65553447046929e-124,5.23811106456483e-121
"gene-ACX60_RS05905",680.771595121612,2.694706843866,0.125530514780953,1.62591647878484e-103,2.57219986943761e-100
"gene-ACX60_RS01845",3825.25583456002,2.60680308607122,0.133487937747931,3.77649551178164e-86,3.98294393309237e-83
"gene-ACX60_RS03085",533.081405195585,4.21707682736517,0.228700007617874,6.55924465910188e-77,5.18836252534959e-74
"gene-ACX60_RS01220",2162.95517417816,2.71850592967584,0.158869262173705,6.82391169391559e-67,4.31817131990979e-64
"gene-ACX60_RS18040",392.506243596559,2.83879429144401,0.17315481986162,9.66307829985568e-62,5.0956632901239e-59
"gene-ACX60_RS17920",662.866220323193,6.59319258295606,0.446237338744366,1.33152510344782e-50,6.01849346758416e-48
"gene-ACX60_RS04875",5694.77506740993,1.39224859754782,0.0978016336823824,3.85890180049574e-47,1.52619566209607e-44
"gene-ACX60_RS06785",462.71991809445,4.36266726214719,0.325641234704978,3.2230320065002e-42,1.13307480761851e-39
"gene-ACX60_RS03065",459.031251239313,5.15699430539755,0.38875406924806,2.58650728038009e-41,8.18370903512261e-39
"gene-ACX60_RS13240",6172.54280803145,1.26675783552193,0.0979022458948133,1.92776966787335e-39,5.54496657195571e-37
"gene-ACX60_RS05300",1171.70715533011,1.5677946071355,0.132251085337999,1.26319200247773e-33,3.33061624653296e-31
"gene-ACX60_RS01890",204.184956529134,-1.85408956555418,0.157723477528686,4.28870036775587e-33,1.04380368950612e-30
"gene-ACX60_RS00865",16701.0430371786,1.09710871866582,0.0944105959786949,9.72554701749282e-33,2.19797362595338e-30
"gene-ACX60_RS15310",563.45545557182,1.35164246819884,0.11713885241467,6.41815638875045e-32,1.35380312093376e-29
"gene-ACX60_RS07735",1289.06764845292,-1.05020076419551,0.091682664431432,1.74352575998896e-31,3.44782219037816e-29
"gene-ACX60_RS01025",482.96956015929,-1.5015708344266,0.131397952639909,1.91899194317338e-31,3.57158265188269e-29
"gene-ACX60_RS14335",996.092728470045,-1.02116292679488,0.0917066909521091,6.89335673620625e-30,1.21169892851981e-27
"gene-ACX60_RS14330",738.818174923093,-1.02185103283648,0.092458957203108,1.75349281214692e-29,2.9200269777015e-27
"gene-ACX60_RS03870",1065.10056815558,1.35048914052576,0.123210679176903,4.07828195654172e-29,6.451842055249e-27
"gene-ACX60_RS05400",515.223683708365,1.35424008638434,0.124408473517114,9.48566576886936e-29,1.42917364250965e-26
"gene-ACX60_RS13710",268.038596642827,1.74596739357608,0.17858386407579,8.48075540084442e-24,1.21968682219417e-21
"gene-ACX60_RS09555",517.614776090202,1.00123299811014,0.106662303265162,5.08995520373661e-22,7.00200794114027e-20
"gene-ACX60_RS03045",504.934282194901,1.10293886660383,0.11862567808674,1.1130928297155e-21,1.46742738050827e-19
"gene-ACX60_RS11920",1757.66274167232,1.1092185423256,0.119832415926867,1.59444119428405e-21,2.0179247754859e-19
"gene-ACX60_RS15425",1348.15952913488,1.3173091421901,0.143083985973137,2.2045986137857e-21,2.68282692846844e-19
"gene-ACX60_RS16900",1426.05017106891,-0.769834594865696,0.0866159709691025,6.73241214570773e-20,7.88938964037751e-18
"gene-ACX60_RS11200",981.562888381814,1.10162374053008,0.125989440499485,1.71856540645862e-19,1.94197890929824e-17
"gene-ACX60_RS17880",307.153962833148,-1.12130658473331,0.129331489795143,3.17022019074381e-19,3.45881954603911e-17
"gene-ACX60_RS13960",11665.7407148071,1.10221600736257,0.127378099422202,4.10029904649154e-19,4.32444872769975e-17
"gene-ACX60_RS06790",608.874143278283,2.57161235963777,0.299455272319759,4.60580561372514e-19,4.70089321349237e-17
"gene-ACX60_RS02355",1533.84032415522,0.920315184065275,0.106913951450983,6.10187306974261e-19,6.03322699770801e-17
"gene-ACX60_RS04250",1201.35549009436,0.810421550276954,0.0946259454173163,1.11842518008875e-18,1.07233250600024e-16
"gene-ACX60_RS01860",210.124348177349,1.2730370069152,0.15049857655136,1.896849422815e-18,1.76518575699608e-16
"gene-ACX60_RS06260",272.191532231001,1.45915065330247,0.176850271513634,9.91626258400779e-18,8.96430137594304e-16
"gene-ACX60_RS16905",502.710809582915,-0.950979032740643,0.115366274401914,1.39713558595343e-17,1.22792694276574e-15
"gene-ACX60_RS01790",259.199620061941,1.16514802905533,0.142579491989795,2.1897725471828e-17,1.87255144305038e-15
